id,name,peak,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"5S4aYQAJOwJMAamANWlICO","exile",6,"folklore (deluxe version)",8,0,1,0,0,0
"5P2bHCDM2tsgIaYWsZMhu5","my tears ricochet",16,"folklore (deluxe version)",8,0,0,0,0,0
"2I8YAEA1VmCuP1wkJHMpTw","mirrorball",26,"folklore (deluxe version)",8,0,0,0,0,0
"76mOLcXOjOEhyY4mMF1l3r","seven",35,"folklore (deluxe version)",8,0,0,0,0,0
"6nK2pIKFcRc5frrZKHgsiT","august",23,"folklore (deluxe version)",8,0,0,0,0,0
"7cm50Lw03k6VvRauJtkyTj","this is me trying",39,"folklore (deluxe version)",8,0,0,0,0,0
"6DrLROM5MG9bxWHeEG5elq","illicit affairs",44,"folklore (deluxe version)",8,0,0,0,0,0
"2ehRU518I0hYqMGQnk4lDY","invisible string",37,"folklore (deluxe version)",8,0,0,0,0,0
"0RP1kqoSPkVXsKiQNhMKzV","mad woman",47,"folklore (deluxe version)",8,0,0,0,0,0
"1EXa37LpSvi3OQ9UYQ28rD","epiphany",57,"folklore (deluxe version)",8,0,0,0,0,0
"3IhtE4fkytdrtEfV34UzkD","betty",42,"folklore (deluxe version)",8,0,1,0,0,0
"6JlI8Ay77m4nJvZTHvfT1J","peace",58,"folklore (deluxe version)",8,0,0,0,0,0
"0YeDG5HnKnG7jpArkzsSPa","hoax",71,"folklore (deluxe version)",8,0,0,0,0,0
"0eFQWVz0qIxDOvhLpZ40P7","the lakes",0,"folklore (deluxe version)",8,0,0,1,0,0
"2gVhfX2Gy1T9kDuS9azrF7","willow",1,"evermore (deluxe version)",9,0,1,0,0,0
"1gcyHQpBQ1lfXGdhZmWrHP","champagne problems",21,"evermore (deluxe version)",9,0,0,0,0,0
"3Dby3p1m6IOZn2gIIqECgK","gold rush",40,"evermore (deluxe version)",9,0,0,0,0,0
"6sQckd3Z8NPxVVKUnavY1F","'tis the damn season",39,"evermore (deluxe version)",9,0,0,0,0,0
"6lCvK2AR2uOKkVFCVlAzzm","tolerate it",45,"evermore (deluxe version)",9,0,0,0,0,0
"6uwfVkaOM1mcMkFmSn35ix","no body, no crime",34,"evermore (deluxe version)",9,0,1,0,0,0
"55Vf4bimc1Rtfg0PAQRAo2","happiness",52,"evermore (deluxe version)",9,0,0,0,0,0
"66tOfHVH3aUrscg8vExRV4","dorothea",67,"evermore (deluxe version)",9,0,0,0,0,0
"2awNGIJHodfLZSClB3PYhz","coney island",63,"evermore (deluxe version)",9,0,1,0,0,0
"43Ykum9T72UOPhBN31grpN","ivy",61,"evermore (deluxe version)",9,0,0,0,0,0
"52OkpDsU6MmPx1AwGOb6Ap","cowboy like me",71,"evermore (deluxe version)",9,0,0,0,0,0
"5VYWxXUpxuxEmCqMLDqICo","long story short",68,"evermore (deluxe version)",9,0,0,0,0,0
"5uICWmZTLkpEVbK22PBP6e","marjorie",75,"evermore (deluxe version)",9,0,0,0,0,0
"6a8aUhYbaQBUI8PcJ5ZmQ6","closure",82,"evermore (deluxe version)",9,0,0,0,0,0
"6Wlq9rqkxrqj5Kls4Kw14H","evermore",57,"evermore (deluxe version)",9,0,0,0,0,0
"3zwMVvkBe2qIKDObWgXw4N","right where you left me",0,"evermore (deluxe version)",9,0,0,1,0,0
"1kdWw77ZpYOkhxeuhzU1j6","it's time to go",0,"evermore (deluxe version)",9,0,0,1,0,0
"77sMIMlNaSURUAXq5coCxE","Fearless (Taylor's Version)",71,"Fearless (Taylor's Version)",10,0,0,0,0,1
"2nqio0SfWg6gh2eCtfuMa5","Fifteen (Taylor's Version)",88,"Fearless (Taylor's Version)",10,0,0,0,0,1
"6YvqWjhGD8mB5QXcbcUKtx","Love Story (Taylor's Version)",11,"Fearless (Taylor's Version)",10,0,1,0,0,1
"550erGcdD9n6PnwxrvYqZT","Hey Stephen (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"5YL553x8sHderRBDlm3NM3","White Horse (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"1qrpoAMXodY6895hGKoUpA","You Belong With Me (Taylor's Version)",75,"Fearless (Taylor's Version)",10,0,0,0,0,1
"7HC7R2D8WjXVcUHJyEGjRs","Breathe (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"0k0vFacOHNuArLWMiH60p7","Tell Me Why (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"6iiAfo4wTA2CVC3Uwx9uh8","You're Not Sorry (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"22bPsP2jCgbLUvh82U0Z3M","The Way I Loved You (Taylor's Version)",94,"Fearless (Taylor's Version)",10,0,0,0,0,1
"1msEuwSBneBKpVCZQcFTsU","Forever & Always (Taylor's Version)",65,"Fearless (Taylor's Version)",10,0,0,0,0,1
"6ON9UuIq49xXY9GPmHIYRp","The Best Day (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"3ExweHKZF9B752DPQByRVT","Change (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"2m3ObD945KvpE5y9A1eUWm","Jump Then Fall (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"0tQ9vBYpldCuikPsbgOVKA","Untouchable (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"01QdEx6kFr78ZejhQtWR5m","Forever & Always (Piano Version) (Taylor's Version)",0,"Fearless (Taylor's Version)",10,1,0,0,0,1
"1n2wszmJyVkw6FHqyLnQsY","Come In With The Rain (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"51A8eKvvZz9uydvIZ7xRSV","Superstar (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"1cSFlSBdpT4F5vb1frQ231","The Other Side Of The Door (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"2JoJrsEV15OzbijS47lids","Today Was A Fairytale (Taylor's Version)",0,"Fearless (Taylor's Version)",10,0,0,0,0,1
"4CHpVfAhuxNJ3ibExe6kxO","You All Over Me (Taylor's Version) (From The Vault)",51,"Fearless (Taylor's Version)",10,0,0,0,1,1
"2CYVETnhM9aytqrazYYwrK","Mr. Perfectly Fine (Taylor's Version) (From The Vault)",30,"Fearless (Taylor's Version)",10,0,0,0,1,1
"34V9RiEPe8MNdU32qJsJa1","We Were Happy (Taylor's Version) (From The Vault)",0,"Fearless (Taylor's Version)",10,0,0,0,1,1
"7eResoqEJJAVTkQYSqvO3P","That's When (Taylor's Version) (From The Vault)",0,"Fearless (Taylor's Version)",10,0,0,0,1,1
"4uuEGH5SVuzkkSFjo2DEiY","Don't You (Taylor's Version) (From The Vault)",0,"Fearless (Taylor's Version)",10,0,0,0,1,1
"4qUijfYU8EoIWiY6oSyrgT","Bye Bye Baby (Taylor's Version) (From The Vault)",0,"Fearless (Taylor's Version)",10,0,0,0,1,1
"6lzc0Al0zfZOIFsFvBS1ki","State Of Grace (Taylor's Version)",18,"Red (Taylor's Version)",11,0,0,0,0,1
"4OAuvHryIVv4kMDNSLuPt6","Red (Taylor's Version)",25,"Red (Taylor's Version)",11,0,0,0,0,1
"3S7HNKPakdwNEBFIVTL6dZ","Treacherous (Taylor's Version)",54,"Red (Taylor's Version)",11,0,0,0,0,1
"6AtZLIzUINvExIUy4QhdjP","I Knew You Were Trouble (Taylor's Version)",46,"Red (Taylor's Version)",11,0,0,0,0,1
"3nsfB1vus2qaloUdcBZvDu","All Too Well (Taylor's Version)",1,"Red (Taylor's Version)",11,0,0,0,0,1
"3yII7UwgLF6K5zW3xad3MP","22 (Taylor's Version)",52,"Red (Taylor's Version)",11,0,0,0,0,1
"2r9CbjYgFhtAmcFv1cSquB","I Almost Do (Taylor's Version)",59,"Red (Taylor's Version)",11,0,0,0,0,1
"5YqltLsjdqFtvqE7Nrysvs","We Are Never Ever Getting Back Together (Taylor's Version)",55,"Red (Taylor's Version)",11,0,0,0,0,1
"7eQj6r5PIdYKEIZjucBMcq","Stay Stay Stay (Taylor's Version)",67,"Red (Taylor's Version)",11,0,0,0,0,1
"0y6kdSRCVQhSsHSpWvTUm7","The Last Time (Taylor's Version)",66,"Red (Taylor's Version)",11,0,0,0,0,1
"7J4b3LVCIGO4CMBDFLPoP6","Holy Ground (Taylor's Version)",76,"Red (Taylor's Version)",11,0,0,0,0,1
"73qMN9bXy7MSPwwGfH3wQr","Sad Beautiful Tragic (Taylor's Version)",85,"Red (Taylor's Version)",11,0,0,0,0,1
"4e5ayHsOLJNLTGfjau2mEw","The Lucky One (Taylor's Version)",84,"Red (Taylor's Version)",11,0,0,0,0,1
"7qEUFOVcxRI19tbT68JcYK","Everything Has Changed (Taylor's Version)",63,"Red (Taylor's Version)",11,0,0,0,0,1
"7A2cNLRT0YJc1yjxHlKihs","Starlight (Taylor's Version)",90,"Red (Taylor's Version)",11,0,0,0,0,1
"05GsNucq8Bngd9fnd4fRa0","Begin Again (Taylor's Version)",77,"Red (Taylor's Version)",11,0,0,0,0,1
"0NRHj8hDwwmSPaA41o379r","The Moment I Knew (Taylor's Version)",83,"Red (Taylor's Version)",11,0,0,0,0,1
"4pNApnaUWAL2J4KO2eqokq","Come Back...Be Here (Taylor's Version)",87,"Red (Taylor's Version)",11,0,0,0,0,1
"0DMVrlMUn01M0IcpDbwgu7","Girl At Home (Taylor's Version)",0,"Red (Taylor's Version)",11,0,0,0,0,1
"5jAIouBES8LWMiriuNq170","State Of Grace (Acoustic Version) (Taylor's Version)",0,"Red (Taylor's Version)",11,1,0,0,0,1
"7nWui6jiMM2m9qFmET1Mtj","Ronan (Taylor's Version)",0,"Red (Taylor's Version)",11,0,0,0,0,1
"4OmFmE0fzcMG6g0Y8p4eSD","Better Man (Taylor's Version) (From The Vault)",51,"Red (Taylor's Version)",11,0,0,0,1,1
"01K4zKU104LyJ8gMb7227B","Nothing New (Taylor's Version) (From The Vault)",43,"Red (Taylor's Version)",11,0,0,0,1,1
"0v4z1tuZvn6LGknom9Qx7d","Babe (Taylor's Version) (From The Vault)",69,"Red (Taylor's Version)",11,0,0,0,1,1
"3z6XUommYDWPHeFhmhhT6j","Message In A Bottle (Taylor's Version) (From The Vault)",45,"Red (Taylor's Version)",11,0,1,0,1,1
"4CkgMiMqZ5JzW9iYXSTMTL","I Bet You Think About Me (Taylor's Version) (From The Vault)",22,"Red (Taylor's Version)",11,0,1,0,1,1
"3oGVx9RBmiYGv5ZCecWLkx","Forever Winter (Taylor's Version) (From The Vault)",79,"Red (Taylor's Version)",11,0,0,0,1,1
"4IQkfUsrwXol38VV3U7t7T","Run (Taylor's Version) (From The Vault)",47,"Red (Taylor's Version)",11,0,0,0,1,1
"6pYNq0ZwpPVazKzsqpf0G8","The Very First Night (Taylor's Version) (From The Vault)",61,"Red (Taylor's Version)",11,0,0,0,1,1
"5enxwA8aAbwZbf5qCHORXi","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",0,"Red (Taylor's Version)",11,1,0,0,1,1
"4g2c7NoTWAOSYDy44l9nub","Lavender Haze",2,"Midnights (3am Edition)",12,0,1,0,0,0
"199E1RRrVmVTQqBXih5qRC","Maroon",3,"Midnights (3am Edition)",12,0,0,0,0,0
"02Zkkf2zMkwRGQjZ7T4p8f","Anti-Hero",1,"Midnights (3am Edition)",12,0,1,0,0,0
"6ADDIJxxqzM9LMpm78yzQG","Snow On The Beach",4,"Midnights (3am Edition)",12,0,0,0,0,0
"7gVWKBcfIW93YxNBi3ApIE","You're On Your Own, Kid",8,"Midnights (3am Edition)",12,0,0,0,0,0
"6Nl7KyvjkFncGsjB49SxLl","Midnight Rain",5,"Midnights (3am Edition)",12,0,0,0,0,0
"6C7OF1Jal7YkyjzyUG8vkK","Question...?",7,"Midnights (3am Edition)",12,0,0,0,0,0
"5yeuXkukVGuix3vmLu2BPJ","Vigilante Shit",10,"Midnights (3am Edition)",12,0,0,0,0,0
"0jvo9CjnbR0lYUDTSNTMiu","Bejeweled",6,"Midnights (3am Edition)",12,0,0,0,0,0
"43q586vP8gGkYypKoSddhl","Labyrinth",14,"Midnights (3am Edition)",12,0,0,0,0,0
"5oqDgw5VGBln5dSIOPWyBq","Karma",9,"Midnights (3am Edition)",12,0,0,0,0,0
"3zmwONxswBAzGwExPugSLN","Sweet Nothing",15,"Midnights (3am Edition)",12,0,0,0,0,0
"56hioFjQ0DXrdn04hZcFgG","Mastermind",13,"Midnights (3am Edition)",12,0,0,0,0,0
"3UMrglJeju5yWyYIW6o99b","The Great War",26,"Midnights (3am Edition)",12,0,0,1,0,0
"0BiqmkasE5FdrChwKfVp8X","Bigger Than The Whole Sky",21,"Midnights (3am Edition)",12,0,0,1,0,0
"7712gjoih4QoDbXpljEk21","Paris",32,"Midnights (3am Edition)",12,0,0,1,0,0
"5kiZGSxgqPdv6rbqL9THdd","High Infidelity",33,"Midnights (3am Edition)",12,0,0,1,0,0
"6wAFvJPpTZVirBKGZ4EnMW","Glitch",41,"Midnights (3am Edition)",12,0,0,1,0,0
"0aV5uARAknQgYhBaK944FP","Would've, Could've, Should've",20,"Midnights (3am Edition)",12,0,0,1,0,0
"3QF5RsWzK1lCvf2o2cY65P","Dear Reader",45,"Midnights (3am Edition)",12,0,0,1,0,0
